,Title_Desc
862,"Uncommon Core : Our scouts have reported that the Amathet are constructing new titanic watchers.   We had long thought this art was lost to the sands of time. It would appear we were mistaken.  I needn't tell you what a boon it would be to have the aid of watcher constructs in our battles for Uldum. We must unlock the secrets of their construction!  The power of a titanic watcher lies in its core. I ask that you bring one to me, so that our artificers might divine its construction."
863,"The Wormwing Problem : Skylord Omnuron has been too gentle with the Wormwing harpies. He allows them to share a perch on this mountain just because they're creatures of the air. Well <class>, not all creatures of the air are created equal.When the attacks on Hyjal began, the Wormwing went into a frenzy. They're up there right now, assaulting a sacred shrine they once claimed to revere.I'm not troubled. Now we have a reason to drive them from Hyjal, don't we?"
864,"Restoring Sanctity : Not long ago, the once tranquil owlkin of the region appeared on the shores of this island. One by one they would come to steal the bones of the fallen dragons. I do not know what would cause these creatures such distress or why they would want the bones of the deceased, but the spirits of the brood have grown restless due to this sacrilege.To the west, across the Crimson Reach, you will find Ragefeather Ridge. Venture to the owlkin encampments and recover the pilfered dragon bones."
865,"The Sun Gate : Thanks to you and the work you did, my scouts were able to find the sun gate. The elves keep the portal location mobile so that they can move it at a moment's notice. That's why the site you investigated was empty.The strength of such a system is also its greatest weakness. The sun gate is stabilized by portal controllers. If we can take down the controllers, the portal will be ours to destroy. The current sun gate location can be found west of here, south of the Vector Coil. Find it and destroy it!"
866,"The Fall of Tichondrius : Yes, Illidan took the power of the Skull of Gul'dan for himself.But did he flee with it into the night? Did he use it for his own glory? No... his very first action was to use his new power to assault the dreadlord Tichondrius!Witness his triumph, <class>. Witness how Illidan reclaimed Felwood from the demons... and the thanks he was given."
867,"Eye for an Eye : This is it, $p. Now is the time to strike.   Take this shredder and destroy their stronghold. Burn everything to the ground!  Show no mercy. They certainly didn't offer any to all of the innocent civilians they slaughtered in Brennadam!"
868,"The Curse of Zin-Malor : You have seen enough. Know that the Crystal of Zin-Malor brings only ruin to all around it.Leave this place, if you do not wish to join us."
869,"Mahka's Plea : I can't put him out of my mind, <name>. Sometimes at night, I can hear his howls of rage and suffering, echoing across the plains. To imagine him out there, alone and in such pain...Please, I must ask a favor of you. Go to Mankrik, and tell him to come see me."
870,"Centaur Bracers : The centaur leadership relies on a core of trusted, disciplined warriors to keep the others in line. If we reduce their numbers, the Kolkar will have no might with which to support their rage. And so, I have a bounty task for you.Around the Lushwater Oasis to the south, slay Kolkar Marauders and Stormseers to collect their bracers. Return when you have a heap of these trophies and the Horde will reward you well."
871,
872,"Fizzled : The flood to the southwest wiped out one of the few Burning Blade camps that still pockmark Durotar.  This one was led by a goblin named Fizzle Darkclaw, and believe me, we're better off without him.Darkclaw, however, did possess an orb that the Horde is interested in procuring.  Who knows why... I leave that to the warlocks.  All I know is that I need that orb."
873,"Ammo Kerblammo : Hartley must've unloaded all of his ordnance along the beach. Let's pull his teeth out, <name>!Run along the shore and look for his munitions stockpiles. Light 'em up and he'll be land-locked and unarmed while the Bellipotent is repaired.I'll meet you back here in Ratchet."
874,"Meeting the Orcs : I haven't lost any love for my homeland or its people, as you know. I've fought tooth and nail for Silvermoon to be allowed a place beside Undercity and Orgrimmar at the negotiating table.This should silence any opposition. Take this letter to Saurfang in Orgrimmar. As leader of the orcs, he must have a say in accepting the sin'dorei's pledge.I've added my own seal to the letter as a personal endorsement. Go northwest of the city and board the zeppelin bound for Durotar at the tower."
875,"Missed Me By Zhat Much! : Okay, <race>! Zhis just got real!Somevone zhinks zhat zhey can get rid of me zhat easily, hmm?Ve shall see about zhat! Nozhink can shtop zhis vork! Nozhink!<Schnottz looks around at the encroaching flames.>Ve should probably get out of here.Huury up! Time is vastink!"
876,"Rellian Greenspyre : <name>, can you take one of the seeds you brought me to my friend, Rellian Greenspyre?  He is a druid that resides at Wellspring Hovel, and when last we spoke he revealed his interest in my work with the Timberlings. He had some ideas himself, and he will appreciate a specimen seed to work with.Thank you, <name>. I hope that, some day, you will see the fruit of my labors.You will find Wellspring Hovel along the road heading west out of Dolanaar, on the way to Darnassus."
877,"An Urgent Meeting : I've been looking for you all over Stormwind, <name>.  The captain has delivered her report to the king. It appears that Stormwind requires your service yet again.  The leaders of the Alliance have gathered together for a meeting at Stormwind Keep, and your presence has been requested by King Wrynn himself. I was instructed to find you and deliver the message without delay.  It has been an honor serving with you, <name>. May the Light bless you on your journey."
878,"Word from Azure Watch : <class>! A couple mutated beasts jumped me and my leg is injured.I was sent on a scouting mission from Azure Watch after we received word from Zhanaa. Please, could you go speak with Caregiver Chellan in my stead? She needs to know how many people to expect in Azure Watch. Just cross the Crystalbrook River here and continue following the road until you get to Azure Watch.Be sure to ask her for a place for yourself to stay in."
879,"The Prophecy of Velen : The Prophet spoke of this day: That on this island, in this new world, our allies would find us.""We will be tested. They will ask that we pay for the sins of our fathers...""At the time, I did not understand the meaning behind his words, but seeing this creature and her reaction to us, it is now coming into focus. The corruption of our people has been felt even here.Venture south. It is there that we found this being. Find its kin and tell them of our people."
880,"Search for Survivors : The bugs came from everywhere... There wasn't any time to react.  Many of my friends died where they stood, while others tried to fight with our meager tools.  I'm a coward. I fled in the commotion instead of trying to help.  Now, here I am, out of food and water and too scared to look for survivors.  Please, I beg you to help anyone you find left alive in Orsis..."
881,"Learning the Language : I think I've cracked it, <name>!<Aurren points to the totem.>All that we need to know about the Stillpine furbolg language is imprinted on their totems. With just a rudimentary understanding of how their symbols work, we can study the totems and learn to communicate with the furbolgs.I've written down the basics of the symbol matrix on this parchment. Study it and then examine the totem. It should lead you to the next language totem.Speak to Arugoo when you return an educated <race>!"
882,"Murlocs... Why Here? Why Now? : These are dark days, Promised One. Even the murlocs are kicking our tails - literally. Unfortunately, more than just my ego has been bruised.While our relationship with the Siltfin murlocs had always been tenuous, never could we have imagined that they would have the gall to attack us and steal from our food stores! Travel west to the Silting Shore and recover our stolen food-stuffs!And if you see a dark-skinned murloc with a patch of white fur stuck in between his webbed toes..."
883,"Deliver Them From Evil... : You must get this information to your people, <name>. While your brave acts have certainly slowed down the plans of Kael'thas and his dark master, the attacks will undoubtedly continue.Take the traitor's communication to your leaders. They must see this for themselves. Perhaps they will be able to better understand some of what was written."
884,"A Quota to Meet : Mountainfoot iron is a brittle alloy, but with the right bribes it meets goblin safety standards. Zignibble here is having trouble on the production end of things, but that doesn't change any of my deadlines. I've got a quota to fill!Head down into the Mountainfoot Strip Mine and gather up any ingots of Mountainfoot iron you find. There should be piles of it smelted and ready for shipment."
885,Pro-liberation : I knew these guys would be trouble as soon as we started building this tower. Scoffing our bribes. Stealing our workers.Labor isn't cheap with all the construction in Azshara. I need those men back!
886,"Shared Goals : The decree you found made mention of a plan to defeat the Old Gods.   I know that the Amathet aren't likely to work with us toward that goal, but if they have a plan tae take out N'Zoth, it's worthwhile for us tae look at it.  The decree mentions the Engine of Ascension. I think that might be what they call that solar empowering device we saw earlier. We should take a peek underneath and see if we can figure out what they're planning!"
887,"Vindicator's Rest : I would not ask you to single-handedly bear the burden of destroying the Vector Coil and slaying Sironas, <name>; however, I believe that you can be of some help in clearing the way for others that might take on such a dangerous assignment.Take the road going north out of Blood Watch and follow it until you get to the fork. Once there, take the left road and follow it until you see Vindicator's Rest - it will be slightly west of the road itself. Corin will be waiting for you."
888,"High Chief Winterfall : The Winterfall furbolg are not a normally aggressive tribe, and this change in their behavior leads me to think that they must be under orders from their chief. We most likely can't undo the damage that has already been done, but if their leader is slain, they may not get any worse.Head east again, past where you found that cauldron. High Chief Winterfall is here, at the easternmost part of Timbermaw Post."
889,"Terrapination : We need to obtain the object described in this journal, for certain. Extracting it from a chest would be a feasible matter, but the object itself sounds compromised, and unstable. Attempting to forcefully open the chest could be disastrous.Fortunately, we know where the key is...statistically speaking, at least. There's plenty of sea turtles at the east end of this beach. One of them may hold the key."
890,"Wanted - Deathclasp, Terror of the Sands : The terrible scorpid, Deathclasp, is believed to have retreated to the southern mountain range in the presence of increased silithid activity.  She presents a great threat to patrols and expeditions in the southern regions.  Individuals participating in her destruction will be remunerated handsomely.  Inquire with Captain Vish Kozus, at the top of the Cenarion Hold Watchtower, regarding a reward."
891,"Mission Improbable : I have a special mission that requires a well equipped, competent <class>. As I have no one else to spare, I suppose I'll have to settle for you...The enemy has assaulted Warsong Lumber Camp and cut it off from the rest of our forces. An important blood elf diplomat en route to Orgrimmar is trapped there.She must be liberated.Take the road northeast and light the smoldering brazier to summon our operative there. Do whatever he might require of you.Dismissed!"
892,"The Ascended : These shaman have spent their lives dedicated to the path of Air, Water or Fire.  On your request, we will beseech the elements to Ascend them, becoming a powerful, if short lived, force to deploy in this war against the Legion.  The ritual of ascension is not to be requested lightly."
893,"Shroud of the Makers : It is good to have friends, <class>! While kindness is its own reward, there can be tangible benefits too!Some friends of mine recently intercepted a shipment of Schnottz's plunder and found something that should serve your needs nicely.It's a piece of titan technology that renders the user nearly invisible. If you use it in the enemy camp, you might be able to rewire their explosives and make a mess of their operation.Each charge has a limited duration, so don't stray too far from safety!"
894,"Daelin's Men : Reddon... Redpath... Ah, here it is! Lieutenant Paval Reethe.Joined the Theramore guard along with most of the recruits that came across the sea with Lady Proudmoore. Enlisted with the marines of Kul Tiras at the age of sixteen. Distinguished service, promotions...Listed as missing."
895,"Gathering Leather : Greetings, young one.  You have a gleam in your eye; I can tell you are eager to venture back to the plains for the hunt.  May you bring honor to your clan!I work with the skins of beasts, fashioning them into clothes and armor for the people of Thunder Bluff.If you hunt beasts and bring me their skins, then I will fashion something for you."
896,"Sweeping the Shelf : Wonderful work in the hovel, <name>. I prayed at the shrine while you were away, and in my visions, Goldrinn was watching you closely.But we've been on the defensive too long: it's time to foil the Twilight's Hammer directly.Fly up to the Lightning Ledge and disrupt their operation. Kill the stormcallers and the monstrosities they're preparing to unleash!"
897,"The Return of Baron Geddon : Ragnaros is not the only powerful elemental that has re-emerged into our world.The dreaded Baron Geddon is leading the onslaught and we must put an end to this rampage.The Flameseer's Staff has proven powerful.  Perhaps it is powerful enough to weaken him to the point where our arch druids can bind him where he stands.Go, <name> and be careful.  Baron Geddon is a vengeful and treacherous being."
898,"Beasts of the Apocalypse! : My brother and I were hunting in the woods to the east when we were ambushed by strange, insect-like beasts. Such aberrations have never before been seen in Azuremyst! Could they be a sign of the coming apocalypse? The apocalypse that YOU are destined to prevent?If you truly are the Promised One, you will strike the creatures of the apocalypse down... and bring me their hides. From their hides, I can fashion armor of great power!Find them to the east, beyond the road."
899,"Into the Fray! : For untold generations, the centaur clans have fought against one another, but no more.Because of your deeds, we stand here together fighting a common foe. We shall win our ancestral lands back from these demons, or we shall die as brothers.What of you, <name>?You have earned the right to fight alongside us. I have a group of my best centaurs for you to lead into battle.Will you take up the spear?"
900,"Even More Fuel for the Zapping : If I bet against my own better judgment and stay to run an engineering shop along the Forgotten Coast, I will need to deal with these pesky elementals.  Curse the powers of elementalism unchecked, I say!Fortunately for me, and now for you my hopeful agent provocateur, the elementals represent an ideal source of raw power for my Ultra-Shrinker refinement - give them the what-for I say!  When doing this though, be sure to save me the water elemental cores!"
901,"Nolkai's Words : The translation is ready now, <name>.<Anchorite Paetheus points out a block of text at the end of his translation.>'The enemy is nearly upon us. We've gathered up all the survivors and retreated to the temple to the east. It's the last ground we truly hold on the island, and there is a sense among the survivors that we will make our last stand here. I've taken care to bury my last few possessions on the grounds of the temple, with the hope that someone will find them and know what happened here.'"
902,The Eye of All Storms : Twilight riders circle the skies above the vortex.  I fear it is their magic that has kept the cataclysmic forces from being contained by our efforts.Take to the skies with Thessera and destroy the riders and the portal from whence they came.
903,Commander Jarod Shadowsong : Only once has there been a leader capable of commanding demigods and mortals alike.His name was Jarod Shadowsong and his ability to lead in battle was such that Cenarius and the other ancients placed themselves under his command.He disappeared for years and his whereabouts were unknown.  Until now.He is being held captive inside a Twilight camp in Darkwhisper Gorge.Your job is to infiltrate their ranks and free Jarod.  Speak to the one known as Ortell at Darkwhisper Pass to the southeast.
904,"Declaration of Power : Have you seen the serpent men? The ones that call themselves naga?<Kessel spits.>They dared make an advance upon this camp under cover of darkness only three nights ago. Can you believe the audacity of those primitive beasts?I need you to deliver a message to their leadership, <name>. To the northeast is Wrathscale Lair, home to Lord Xiz. Find him, slay him where he stands and drive this banner through his corpse.Let them know fear whenever they should see our standard!"
905,"The Codex of Shadows : <This elaborate book contains hundreds of vellum pages bound within a slate cover. It's written in many languages, most unfamiliar. Carefully inked illustrations depict sorcerers or even entire buildings vanishing into curtains of shadow.><Many illustrations depict magical artifices like those you see around camp. You suspect the dragon Sethria is trying to keep something hidden. Thisalee will want to hear about this!>"
906,"In Defense of Krom'gar Fortress : There's no time left. Here they come! Take control of a heavy gun and shoot the gnomes out of the sky! If that bomb takes too many hits it will blow, taking us all with it!Defend the base, <name>! You're our only hope!If we somehow make it out of this in one piece, report to Overlord Krom'gar."
907,"The Turd Problem : We have a little problem...<Jibbly points to the large turds covering the base.>We built the Sludgewerks near a wyvern habitat. Now our initial blueprints for the Sludgewerks were drawn up so as not to disturb the wyvern habitat as the beasts are apparently sacred to tauren and orcs. Do you know what's sacred to me? Not getting pooped on, that's what!Between you, me and the wall, the wyvern must die!"
908,"Do Me a Favor? : Hello there. Pleased to meet you! I'm Fizzle Brassbolts. Welcome to my Speedbarge.I share your concerns about helping all of Thousand Needles. It's my firm belief that the Speedbarge is the best hope for the entire region.Perhaps you could help us out a little bit here? I'll make sure that you're equipped with what you need to tackle everything else.As to that, if you could just run this list of parts over to Jinky Twizzlefixxit in her shop, you'll be well on your way."
909,"Repel Boarders! : <name>, the sea is our only lifeline, and right now most of my fleet is either steaming back to Theramore for repairs or rusting at the bottom of this bay. Only the Blackpool remains afloat to defend our harbor.But she's just signaled that she's being boarded!Speak to me when you're ready, I'll have one of our naval gryphons deposit you right on the deck. Slaughter the rageroar sea dogs who dare assault my precious ship and report to Captain Fisher for further orders."
910,"Altered Beasts : We, the blue dragons, have been forced out of our home, Mazthoril. An impostor by the name of Umbranse has taken advantage of us in our weakest hour, and now occupies the cave.Mazthoril is a place of extremely potent magic, and he does not know how to wield it. Even the wildlife suffers.The beasts nearby have been altered. Please, <race>, I must ask you a favor. Gather their brains, so I can see if I can undo this Umbranse's wild magic."
911,"The Arcane Storm Within : Mazthoril's innate magic can wreak unimaginable havoc if mishandled. Umbranse's wanton casting within the cavern has opened up a number of tesseracts - in other words, portals - connecting to other worlds. If I am to return to Mazthoril, these tesseracts must be closed.The dreamcatcher will close the portals, buying you safe entrance into Umbranse's lair. First defeat whatever comes out of the tesseracts, then use the dreamcatcher to quickly close them, before anything else spills into this world."
912,"Loss Reduction : You've got to help us.  The elementals... they're stronger than they look, and they come in waves.  They took us completely by surprise, and we were overcome.Many of my fellow grunts lay dying on the beach.  If you could save them... I would be grateful, as would Gar'Thok back in Razor Hill."
913,"He Who Would Be Forgiven : <A voice from inside the moonwell flows over your mind, bringing you a perfect sense of peace.>You seek to cure a child, but know that all things come at a cost. To the east lies Raynewood Tower. Standing outside the tower, next to my moonwell, is one who has fallen into corruption.Avrus Illwhisper seeks forgiveness and redemption, <name>. Will you help him to attain that which he desires and in so doing achieve your own goal?"
914,Army of the Black Dragon : Mok'Morokk was made Overlord by Rexxar. He care more for power than he care for ogres.Black dragons kill many ogre. Kill Tharg's wife. Mok'Morokk tell us to run. Make us come here.Ogre should fight. Ogres not good at running. Mok'Morokk care only about Mok'Morokk.Me call Stonemaul Ruins home. Me like it in the south. This place not home.Help ogres fight army of the black dragon. Me want revenge. Me want to go home.
915,"The Doomstone : At the core of Animus is an artifact known as the Doomstone. One of its properties is an ability to absorb a great deal of energy.This is how the cultists are trying to set off the explosion... by overloading the stone and amplifying the power through the elemental.Bring me the Doomstone. For safe keeping, of course."
916,"Flight to Razor Hill : When you're ready to take the wind rider down to Razor Hill, simply speak with me again. When you get there, waste no time in finding Gar'Thok. He's the one responsible for preparing reports on recent Alliance activity in Durotar."
917,"The Lost Gem : As you rummage through Teronis' belongings, you find a water-damaged journal.Quickly flipping through the last legible pages, you read that Teronis makes mention of finding the gem, but then of having lost it in the Falathim area.The only thing left to do is find it. Perhaps the tendrils have it...?"
918,"Translation : It is true that Furien dedicated his last days to a special research project. What that was, he would not share with me.Fortunately, I was able to recover his journal, but it's written in a code that I cannot decipher.Perhaps there is a clue to its translation in the region to the east where he spent his time.Take the journal, <class>, and speak with Narimar when you are ready to investigate this mystery."
919,"Bad Datas : There should be two titan communication devices in this chamber.If my translations are correct, one is a death trap and the other will accept the codes and activate the obelisk.Let's hope I get this right.Let me know when you're ready."
920,Children of Tortolla : My children.They lie below.In silt and sand.The others corrupt them.Darken them within their shells.Slay the others.Destroy the corruptors.Save them...
921,"The Land Is in Their Blood : If we're to stabilize the forces of nature, we'll need every little bit of help we can get.  The furbolg of the Blackwood tribe have long inhabited the area and have strong ties to the land.Their elder Shaman, Elder Brownpaw, wields great power over the elements -- his assistance would be invaluable.  See if you can obtain their aid."
922,"Secrets of the Flame : If we are to banish Ragnaros back into the Firelands, we will need to gain access to Sulfuron Spire.Only the most trusted members of the Twilight's Hammer will have been entrusted with such valuable information.Go search the Ascendant's Rise for any written tomes you might find.  Foul as they are, we cannot waste the opportunity to learn about our enemy's weaknesses."
923,
924,"Cutting a Path : During our mission to reconnoiter the Sunhawks and their portal, I sustained a serious wound. Scout Loryi has managed to staunch the bleeding and she's trying to figure out a way to evacuate me to Blood Watch.The problem is that we'd have to abandon our position here in order to guarantee a safe return.As soon as we leave this consecrated ground, we'll be set upon by ravagers. If you can clear some of the enraged ravagers, it might allow us to make the trip back safely."
925,"Slap and Cap : Oh for... not again! If you heard the deputy yelling out there, that means we've got a fullblown oil leak on our hands! It's those filthy worgen again!Listen, it's going to be total chaos out there. Sleep-deprived goblins running around screaming and not knowing what to do. I need you to snap the workers back to their senses.A good, swift backhand across the face should do it! Once they shake themselves off, they'll get to work capping those gushers!"
926,"Hammer Time : The three of us have been arguing for weeks over whose weapons are superior.I won't let anyone tell me my maces are second best. Kilram's axes and Seril's swords could never match the pure strength of my craft.I'm tired of arguing. It's time to show those two I'm right with a demonstration. If you would, dear, head outside and tell Deez Rocksnitch that I need the biggest boulder he can find!"
927,The Perfect Horns : I can't make a yeti without horns!I've been looking for what seems like forever for the perfect set of horns... and no horn I find is good enough! But just the other day I saw the biggest yeti in Winterspring.I named him Icewhomp. His horns are the ones I've been looking for! He lurks all the way in the back of the cave along the eastern ridge of Ice Thistle Hills.Bring me his horns... but be sure to check on Echo Three along the way!
928,"The Grand Tablet : At the bottom of the chest, you find a large tablet. Made of a material resembling stone, but completely smooth and flawless, it is covered in strange writing.While some resembles the writing on the walls, other scripts appear completely different. Gunstan would probably like to see this."
929,"Return Fire : The fires are mostly contained, but we have to do something about those wind riders!Quick, <name>, you have to jump into one of our glaive throwers and return fire!"
930,"In Fungus We Trust : I've cultured these unusual spores you dug up with a most magnificent cocktail of ... reagents ... that I'm fond of. I'm eager to see how my manipulated spores react to the waters of the Crossroads oases.The Stagnant Oasis to the southeast should provide us an uncontaminated site for our experiment. Simply plant this culture in the moist soil anywhere near the oasis, and document the results for me.Be sure to cover your mouth, <class>.<Helbrim grins disarmingly.>"
931,"Desert Research : The dark blade of Sargeras has cast a shadow of destruction over this land.  It seemed that the silithid hives were destroyed in the attack, but I have received reports that the silithid are returning.  If it were up to me, I'd burn those wretched hives once and for all! However, it is not up to me.  The Dark Lady wants the surviving silithid dissected and studied.   Pixni Rustbomb is conducting the research and is in need of a ""collector."""
932,"The Evil Dragons of Un'Goro Crater : This crater is filled with a malignant breed of dragon.  Have you seen them?  They wander all about, parading their spiky backs and lizardy faces all around the Crater.Don't let them fool you, squire, for these dragons are no minions of graceful Alexstrasza.  They are clearly vicious, and direly in need of a hero's blade.I have decided that I will slay no less than 15 of them.  As my squire, you must come along.  Should we become separated, you may meet me back here at the Hot Springs."
933,"Lockdown! : Zhat buildink did not explode by itself!Somevone is tryink to do me in, and you von't rest until I find out who!Shtaht vizh zhe guests. Visit vizh zhem, observe zheir demeanor, and zhen report back to me.If zhey know anyzhink at all, I vill haff zhem interrogated!Dismissed!"
934,"Sauranok Will Point the Way : I see you haven't yet spoken to the Warchiefs... other... advisor, Sauranok the Mystic. He has been at their side since our campaign together in Northrend.To assault the Twilight Highlands, we're going to need a map of the shoreline. I have tasked Sauranok with digging up this information. See if he can use your assistance!"
935,"Seek Redemption! : The Council of the Forest has news that you aided Zenn Foulhoof. The satyr is an enemy of the forest. As a <race>, you should know better than to defile the forest by killing Nature's creatures.You must redeem yourself in the eyes of the Council if you wish to remain a friend of Teldrassil.Teach Foulhoof a lesson and you shall be redeemed. Fel Cones are corrupted seeds that fall from the trees. They billow with green smoke.Give some to Foulhoof. He'll think you have brought him a harmless snack."
936,"The Lost Report : Sifting through the loose dirt, the severed hand of an orc is found.  And clutched in the hand is a bone-carved tube.  And in the tube is a dirt-stained parchment.The parchment is a report made by an orc who spent weeks spying on the city of Theramore.After scanning the parchment, it is clear that it must be brought to the orc spymaster in Brackenwall Village."
937,"A Grim Connection : I've spoken with Inspector Tarem regarding the evidence you gathered from the ruins of the Shady Rest Inn. He seems certain that the hoofprints and the shield you found there point to the Grimtotem clan of tauren.With reports of Grimtotem activity on the rise in the marsh, this has to be more than a mere coincidence. I'm sending you to speak with Captain Darill, who is something of an expert on the Grimtotems. Follow the road north out of town to North Point tower. It's the second outpost on the road."
938,"Smashing Through Ashes : <name>, these fiends from the Twilight's Hammer are attempting to scourge this whole mountain clean of all life. Even now they trail behind this inferno, leaving death and ash in their wake.Arch Druid Hamuul Runetotem is behind the fires, trying to salvage the wilderness before it's blotted permanently from the map. Travel southeast, through The Inferno and down the road beyond. Find and aid the Arch Druid.On your way there, clear the roads by killing any Charbringers that you find."
939,"A Hearty Thanks! : You saved my life, <name>! Thank you so much! That beast would have torn me to shreds if it weren't for you.If you see the exarch at Azure Watch, tell him of what you did. I'm sure he'll be pleased to hear such news!"
940,"Encased in Amber : You know who would probably know a lot about how to properly incubate this egg? The mantid!  Of course, they're too busy trying to kill us to share their expertise, but there might be another way to benefit from their knowledge!  Perhaps we could repurpose one of their incubation chambers. That could help speed up this process, I'm sure!  If you could find and mark one for me, I could airlift it out of there."
941,"The Bloodcurse Legacy : Dear friend,My hand trembles as I ink this letter. I pray that it reaches you in time.Last night, Edward Hanes, captain of the ship 'Lost Hope', appeared before me in my tent. The same Edward Hanes that died of scurvy 20 years ago.This apparition told me a tale that made my heart tremble. A tale that I need you to hear and a mission that I need you to accomplish. Will you do it? Will you seek out Edward on Wyrmscar Island, northeast of your base?Regards,Admiral Odesyus"
942,"Naga In Our Midst : The creature appears to have had its skull broken in a fight with Aros.  It looks like what you've heard described as a naga before.It is said that despite their monstrous features, naga are night elves warped by the arcane magic of Queen Azshara.It seems they've decided to stop you from obtaining the horn of the ancients."
943,"Da Voodoo: Stormer Heart : With voodoo, our troops might have a chance at beating back the Grimtotem assault. With that said, I need several ingredients if I am to invoke black magic.The first ingredient on my list is a heart from a cliff stormer. The beasts have nearly been hunted to extinction, but a few still exist around these parts. Find one and recover its beating heart!"
944,"Sowing a Solution : Based on what you've brought me, I think we may have a solution. I've imbued the lashvine seeds with healing energies.Simple contact with these should imbue the creatures here with enough energy to force out the corrupted influence.Go and attempt to heal the mutated raptors and plainstriders by sprinkling the seeds on them, and report the results back to me."
945,"Warchief's Command: Winterspring! : All able-bodied members of the Horde are hereby ordered to report to Donova Snowden at Frostfire Hot Springs. Her discoveries about the Winterfall furbolg may be the key to dealing with this threat once and for all.To reach the Frostfire Hot Springs in Winterspring, you must travel east from northern Felwood and traverse Timbermaw Hold.Destiny calls!"
946,"Hero's Call: Felwood! : By order of his royal highness, King Anduin Wrynn, all able-bodied citizens of the Alliance are to report to Tenell Leafrunner at the Emerald Sanctuary.His order requires your help to redeem Felwood from the demonic influences that rule the forest. Head north from Ashenvale and follow the road into Felwood until you reach the Emerald Sanctuary.For the glory and honor of the Alliance!"
947,"Marching On Our Stomachs : It's true what they say: An army marches on its stomach. And we've been marching a long way.I'm thinking if we barbecue up a few of those giant lumbering stormsnouts, we'll have enough meat to feed us for weeks.Stormsnouts are big and slow, so they should be easy to kill. Except... Hey you're not carrying any metal on you are you?"
948,"Culling the Furbolg Threat : Directly to the north of Astranaar are the Thistlefur furbolg. My scouts report that their numbers have grown greatly over the past few months. If they grow too great, they may find the courage to attack Astranaar directly!Go to Thistlefur Village and kill as many of their kind as you can.I shall remain here in Astranaar and await word from you. Elune be with you, <class>."
949,"Grimtotem in the Post : You must do away with the Grimtotem invaders at Freewind Post. They brought it on themselves, the cowards!We can't take the fight to their territory with our back to them. Please help us take back our home, <class>."
950,"Return to Samophlanger : Well, that didn't work. The structural integrity of the samophlange is at an all-time low. I could add some more dials to try and fix it, but...that might make things even worse.Look what I discovered when I blocked the release valve and blew the cover off the differential casing, though: the personal stamp of ""Boss Copperplug.""Take this back to Sputtervalve and tell him to find this Copperplug genius. When you're done here, just talk to me and I'll send you back using Brak's teleporter."
951,Grimtotem Chiefs: Grundig Darkcloud : One of the most accomplished Grimtotem leaders of the Stonetalon Mountains has returned home.We must make the most of this chance and put an end to his campaign of terror once and for all.
952,"Captain Vimes : Captain Vimes should see the orc report you found, <name>.  He knows the orcish language better than most.  And he should know that there are Horde spies near Theramore!The captain is in the barracks, on the northeastern side of Theramore Isle."
953,"Spirit of the Stag : In these woods reside three great spirits, that of the Stag, that of the Thistle Bear, and that of the Moonstalker. These spirits make powerful allies, but you can only align yourself with one of them.If you wish to align yourself with the Great Stag Spirit, take this incense to the woods just north of Bashal'Aran. Meditate before the great spirit while burning the incense on the ground between you, and face his trial to earn his blessing. Should you succeed, return to me."
954,"Rumble in the Lumber... Mill : Prepare yourself, <name>! The Warlord comes! Kill him and take his key. Use the key to release me.Should we make it out of here, report the following to Lord Fallowmere at Windshear Hold:The Horde has aborted their plans to destroy Windshear Hold due to the efforts of one of our heroes. They now plan to move the bomb to Battlescar Valley and drop it on our armies battling the Horde at that location.They must be stopped!"
955,"The Keystone Shard : The air around this strange stone crackles with energy. The stone itself is smooth and icy cold. It pulses periodically as you run your hands over it, like the crashing of surf.A wedge-shaped piece appears to be missing from the top surface of the artifact. This 'keystone shard' is likely the key to unlocking the secrets of the stone. Search the grounds near the temple and locate the keystone shard."
956,"Another Warm Body : Oh have I got a deal for you! Immerse yourself in foreign cultures, go on epic adventures, blow things up, and get paid to do it! Sound too good to be true? Well it's not - this is what we do!If you're interested, head over to Gallywix Defense Post on Forlorn Ridge to the north and look for Commander Molotov."
957,Tides of War : Champion!  An urgent War Council is underway. Your presence is requested in Stormwind Keep.
958,"In the Blink of an Eye : <The entity speaks with the familiar voice of Archmage Khadgar.>Azeroth needs you, <name>!After scouring Ulduar and Karazhan for answers, we know the key to defeating the Legion: five ancient artifacts called the Pillars of Creation.To find them, Dalaran must be moved to the Broken Isles. As our leader Jaina is... absent, Kalecgos of the blue dragonflight has offered the Kirin Tor his aid.The Legion is assaulting our current position over Deadwind Pass. Hurry!"
959,"The Nation of Kul Tiras : Kul Tiras is the greatest naval power on Azeroth, and a former member of the Alliance. But we've had little contact with them since Jaina's father, Lord Admiral Daelin Proudmoore, was killed at Theramore.  Many have said that Jaina believed so deeply in the promise of peace between the Alliance and Horde that she betrayed her own father on that day. Perhaps she feels it is time to put the past to rest.  Loathe as I am to put Jaina at risk... Kul Tiras must rejoin the Alliance.  Light be with you."
960,"Call of Duty : Citizen!As you may have heard, the Horde's attacking just offshore. The fighting's been fierce and relentless.We need every able body out there repelling the enemy!Report to the northernmost dock at once for transport to the battle.Oh, and our official warships are... err, a bit late in their scheduled return. Don't worry though, we've commissioned mercenary vessels to serve in the meantime.Hurry along now, <class>. Stormwind needs you!"
